kepid,koi_srad,koi_steff,koi_disposition
10797460,0.927,5455.0,CONFIRMED
10797460,0.927,5455.0,CONFIRMED
10811496,0.868,5853.0,CANDIDATE
10848459,0.791,5805.0,FALSE POSITIVE
10854555,1.046,6031.0,CONFIRMED
10872983,0.972,6046.0,CONFIRMED
10872983,0.972,6046.0,CONFIRMED
10872983,0.972,6046.0,CONFIRMED
6721123,1.958,6227.0,FALSE POSITIVE
10910878,0.848,5031.0,CONFIRMED
11446443,0.964,5820.0,CONFIRMED
10666592,1.952,6440.0,CONFIRMED
6922244,1.451,6225.0,CONFIRMED
10984090,1.022,5833.0,CONFIRMED
10419211,0.848,5795.0,FALSE POSITIVE
10464078,0.68,5043.0,FALSE POSITIVE
10480982,0.947,6117.0,FALSE POSITIVE
10485250,0.786,5152.0,FALSE POSITIVE
10526549,0.696,4856.0,CONFIRMED
10583066,0.672,4537.0,CONFIRMED
10583180,0.819,4989.0,FALSE POSITIVE
10601284,0.91,5185.0,CONFIRMED
10601284,0.91,5185.0,CONFIRMED
10601284,0.91,5185.0,CONFIRMED
2306756,1.58,5543.0,FALSE POSITIVE
10662202,0.828,4954.0,CONFIRMED
10682541,0.847,5339.0,CONFIRMED
11460018,0.831,5644.0,CONFIRMED
11463211,0.831,5714.0,FALSE POSITIVE
11465813,0.983,5520.0,FALSE POSITIVE
11493732,1.091,6144.0,FALSE POSITIVE
11507101,1.036,5481.0,CONFIRMED
10910878,0.848,5031.0,CONFIRMED
10910878,0.848,5031.0,CONFIRMED
10987985,0.826,5015.0,CONFIRMED
11018648,0.798,5586.0,CONFIRMED
11018648,0.798,5586.0,CONFIRMED
11138155,1.082,5712.0,CONFIRMED
11152159,0.91,5550.0,FALSE POSITIVE
11153539,0.969,6075.0,CONFIRMED
11242721,1.063,6074.0,FALSE POSITIVE
9579641,1.087,5779.0,CONFIRMED
11304958,1.046,5468.0,CONFIRMED
11391957,0.787,5592.0,CONFIRMED
11403044,1.103,6174.0,CONFIRMED
11414511,0.955,5532.0,CONFIRMED
11442465,0.705,5040.0,FALSE POSITIVE
12110942,0.917,5880.0,CONFIRMED
12366084,1.015,5714.0,CONFIRMED
12366084,1.015,5714.0,CONFIRMED
12404086,0.763,5129.0,CONFIRMED
8395660,1.012,5854.0,CONFIRMED
9579641,1.087,5779.0,CONFIRMED
11656840,0.956,6108.0,FALSE POSITIVE
11754553,0.615,4126.0,CONFIRMED
11754553,0.615,4126.0,CONFIRMED
11754553,0.615,4126.0,CONFIRMED
11812062,0.809,5497.0,CONFIRMED
11818800,0.781,5446.0,CANDIDATE
11853255,0.564,4149.0,CONFIRMED
11909839,0.924,5746.0,FALSE POSITIVE
11918099,0.765,5005.0,CONFIRMED
11918099,0.765,5005.0,CANDIDATE
9579641,1.087,5779.0,CANDIDATE
11923270,0.473,3688.0,CONFIRMED
11960862,0.989,5992.0,CONFIRMED
12020329,0.867,5485.0,CONFIRMED
12066335,0.56,4077.0,CONFIRMED
12066335,0.56,4077.0,CONFIRMED
12070811,0.75,5557.0,CONFIRMED
8395660,1.012,5854.0,CONFIRMED
3120431,0.811,5295.0,FALSE POSITIVE
3246984,0.973,5735.0,FALSE POSITIVE
3342970,1.076,6214.0,CONFIRMED
3342970,1.076,6214.0,CONFIRMED
12459725,0.878,5799.0,FALSE POSITIVE
12470844,0.788,5354.0,CONFIRMED
12470844,0.788,5354.0,CONFIRMED
12644822,0.919,5795.0,CONFIRMED
2440757,1.339,6017.0,FALSE POSITIVE
2445129,1.06,5927.0,FALSE POSITIVE
2713049,1.062,5519.0,CONFIRMED
3114167,0.679,5653.0,CONFIRMED
3114661,0.636,5255.0,FALSE POSITIVE
3115833,0.836,5988.0,CANDIDATE
4139816,0.493,3950.0,CONFIRMED
4139816,0.493,3950.0,CONFIRMED
8395660,1.012,5854.0,CONFIRMED
4139816,0.493,3950.0,CONFIRMED
4275191,0.774,5557.0,CONFIRMED
4476123,0.734,5395.0,CONFIRMED
3351888,1.106,5539.0,CONFIRMED
3453214,0.905,5710.0,CANDIDATE
3554600,0.824,5657.0,FALSE POSITIVE
3641726,0.82,5349.0,CONFIRMED
3734868,1.024,5627.0,FALSE POSITIVE
3832474,0.867,5485.0,CONFIRMED
8395660,1.012,5854.0,CONFIRMED
3832474,0.867,5485.0,CONFIRMED
3832474,0.867,5485.0,CONFIRMED
3836375,0.915,5663.0,FALSE POSITIVE
3838486,0.731,4667.0,FALSE POSITIVE
3935914,0.893,5934.0,CONFIRMED
3940418,0.807,5170.0,CONFIRMED
4049131,0.761,4905.0,CONFIRMED
4139816,0.493,3950.0,CONFIRMED
5287983,0.939,5926.0,FALSE POSITIVE
5358241,1.053,5775.0,CONFIRMED
10875245,1.402,5847.0,CONFIRMED
5358241,1.053,5775.0,CONFIRMED
5358241,1.053,5775.0,CONFIRMED
5358624,0.793,5150.0,CONFIRMED
4544670,0.871,5509.0,CANDIDATE
4664847,1.085,5973.0,CONFIRMED
4725681,0.524,3747.0,CONFIRMED
4725681,0.524,3747.0,CONFIRMED
4913852,0.517,3692.0,CONFIRMED
4932348,0.932,5575.0,FALSE POSITIVE
4936180,0.826,6463.0,CANDIDATE
11913073,0.826,5514.0,FALSE POSITIVE
