koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,ra,dec,target_planet,mission,tid,toi
5.652623,2.54e-05,-2.54e-05,2459304.837939,0.002852,-0.002852,3.434,0.475,-0.475,1250.0,26.0133,-26.0133,8.94354,1.13988,-1.13988,2011.0,2717.06,,,6415.4,103.2,-103.2,3.98,0.08,-0.08,1.92,0.08,-0.08,9.7318,140.88389,-67.026006,0,TESS,304021498,1031.01
29.0161646,4.76e-05,-4.76e-05,2460717.39858,0.002632,-0.002632,5.345,0.314,-0.314,1238.3381592,37.8897444,-37.8897444,6.8208109,0.1674868,-0.1674868,1245.1929616500001,33.2234,,,6113.1,131.1,-131.1,4.36,0.0852564,-0.0852564,2.01,0.06,-0.06,10.0163,87.282586,-60.498444,0,TESS,149601557,1033.01
3.6404389,8.2e-06,-8.2e-06,2460768.617427,0.002617,-0.002617,2.5339234,0.5744699,-0.5744699,476.3077321,35.1115139,-35.1115139,3.7025342,0.1738907,-0.1738907,2783.098027,9941.2265514,,,9810.0,173.7,-173.7,4.43,0.06,-0.06,1.60776,0.0427739,-0.0427739,9.8174,134.441752,-49.000578,0,TESS,400595342,1034.01
1.2025238,6.7e-06,-6.7e-06,2459331.124512,0.003174,-0.003174,1.991,0.052,-0.052,390.0,107.57,-107.57,6.31106,1.99504,-1.99504,5952.0,208477.0,,,9158.0,171.4,-171.4,4.32,0.07,-0.07,1.74,0.05,-0.05,9.0211,147.385172,-63.306478,0,TESS,363260203,1037.01
3.2235985,1.38e-05,-1.38e-05,2459273.371643,0.002025,-0.002025,2.159,0.452,-0.452,680.0,1.13,-1.13,5.51341,0.6872333500000001,-0.6872333500000001,1245.1929616500001,2064.8,,,8904.0,239.9,-239.9,4.09,1.36,-1.36,2.17,0.06,-0.06,8.7157,128.454638,-49.940347,0,TESS,90544017,1038.01
4.0872956,2.3e-06,-2.3e-06,2460150.608677,0.000682,-0.000682,5.586113,0.0508755,-0.0508755,3572.1712499,35.689426,-35.689426,13.6237732,0.6518233,-0.6518233,1755.0767383,2242.3605401,,,6036.0,131.1,-131.1,3.93359,0.0852564,-0.0852564,2.2186699,0.102573,-0.102573,9.8638,319.949697,-58.148933,1,TESS,231670397,104.01
2.55555,0.00045,-0.00045,2460756.129789,0.001437,-0.001437,1.566,0.375,-0.375,397.9246747,18.1707086,-18.1707086,12.5272602,0.4216165,-0.4216165,2145.0,3520.68,,,10037.0,123.0,-123.0,4.36,0.0852564,-0.0852564,6.04,0.06,-0.06,8.3854,128.61421,-61.488262,0,TESS,310483807,1040.01
8.30792,0.00037,-0.00037,2459261.801216,0.0004,-0.0004,3.228,0.089,-0.089,8350.0,160.238,-160.238,43.1068,4.42399,-4.42399,1924.0,2276.25,,,9081.0,173.2,-173.2,3.83,0.07,-0.07,3.05,0.09,-0.09,8.0981,138.402252,-55.19791,0,TESS,385624852,1041.01
0.758082,7.3e-06,-7.3e-06,2459281.337956,0.001287,-0.001287,1.8184632,0.1306038,-0.1306038,583.93181,58.10249,-58.10249,10.1273702,0.6658212,-0.6658212,5499.7476332,216218.1005011,,,9917.0,199.6,-199.6,3.75,0.06,-0.06,3.5086601,0.120121,-0.120121,9.718,141.975215,-61.33004,0,TESS,360286627,1042.01
1.4415577,7.4e-06,-7.4e-06,2459985.770425,0.003745,-0.003745,2.349,0.682,-0.682,507.0,54.9645,-54.9645,3.61078,0.26004,-0.26004,3174.0,16861.8,,,6902.0,135.7,-135.7,4.25,0.09,-0.09,1.52,0.06,-0.06,9.5719,128.302319,-52.714202,0,TESS,90448944,1043.01
3.7039994,3.7e-06,-3.7e-06,2459301.544126,0.000611,-0.000611,4.277,0.599,-0.599,7590.0,1.22092,-1.22092,17.57,0.746573,-0.746573,2149.0,3546.13,,,7013.8,299.6,-299.6,4.21,0.44,-0.44,1.9,0.08,-0.08,9.6306,159.887704,-32.51188,0,TESS,54044474,1045.01
1.3042553,2e-06,-2e-06,2460177.867195,0.001123,-0.001123,1.706,0.213,-0.213,914.0,628.954,-628.954,9.36472,1.30647,-1.30647,3569.0,26944.7,,,6762.0,130.2,-130.2,4.11,0.08,-0.08,1.75,0.07,-0.07,10.0119,126.419468,-60.907514,0,TESS,309787037,1046.01
0.62627,2e-05,-2e-05,2458544.79061,0.00092,-0.00092,0.666,0.169,-0.169,1880.0,68.5212,-68.5212,5.72162,0.894462,-0.894462,2101.0,3235.57,,,5622.0,131.2,-131.2,4.5,0.07,-0.07,0.93,0.05,-0.05,10.2355,144.581535,-67.505097,0,TESS,370745311,1047.01
0.30412,1e-05,-1e-05,2458518.376,0.00075,-0.00075,0.748,0.1,-0.1,1330.0,3.83107,-3.83107,10.417,0.668057,-0.668057,6413.0,280833.0,,,11892.0,235.8,-235.8,4.14,0.07,-0.07,2.52,0.09,-0.09,8.802,136.527702,-54.903922,0,TESS,384549882,1048.01
